Date,SMP,Temperature,Wind Speed,Visibility,Cloud Cover,PhuTai,GiaBien
1/1/2016 0:00,620,19.1,2,7,89.1,23872,130
1/1/2016 0:30,620,19.1,5.7,5,88,23872,129
1/1/2016 1:00,549,18.7,2.2,8.6,94.3,23568,127
1/1/2016 1:30,549,19.1,5.7,7,88,23568,126
1/1/2016 2:00,500,19.1,3.7,8,89.1,23165,126
1/1/2016 2:30,500,18.1,7.8,7.9,88,23165,126
1/1/2016 3:00,1,19.1,7.7,8,89.1,23430,125
1/1/2016 3:30,1,19.1,7.8,5,88,23430,125
1/1/2016 4:00,1,18.7,3.7,8.1,94.3,23579,125
1/1/2016 4:30,1,19.1,3.7,6,88,23579,125
1/1/2016 5:00,1,19.1,3.6,5,89.1,23774,125
1/1/2016 5:30,1,19.1,3.7,5.1,88,23774,124
1/1/2016 6:00,1,19.1,3.7,5,89.1,24270,959
1/1/2016 6:30,1,19.1,5.5,4.1,88,24270,960
1/1/2016 7:00,1,18.8,5.7,12.4,89.1,25719,1093
1/1/2016 7:30,1,20.1,5.6,4.1,88,25719,965
1/1/2016 8:00,1,19.1,5.5,4.1,89.1,26970,999
1/1/2016 8:30,1,20.1,5.6,4,88,26970,1055
1/1/2016 9:00,1,22.1,7.6,7,50.6,28928,1004
1/1/2016 9:30,1,22.1,7.8,7,51.4,28928,1183
1/1/2016 10:00,1,21.3,5.6,15.2,71.7,29243,1206
1/1/2016 10:30,1,23.1,9.5,9.9,50,29243,1142
1/1/2016 11:00,498,22.1,13.1,10,50,27080,1177
1/1/2016 11:30,498,22.1,9.5,5.1,50,27080,1120
1/1/2016 12:00,498,23,11.3,5.1,50,27363,129
1/1/2016 12:30,498,24,11.4,9.9,50,27363,130
1/1/2016 13:00,549,23.6,8.4,15.2,71,28408,965
1/1/2016 13:30,549,25,11.5,9.9,50,28408,1054
1/1/2016 14:00,549,24,7.7,10,50,29516,1100
1/1/2016 14:30,549,24,9.7,9.9,49.1,29516,1142
1/1/2016 15:00,549,24,11.3,10,50,29791,140
1/1/2016 15:30,549,23.9,13.1,9.9,25.9,29791,142
1/1/2016 16:00,549,22.8,7.2,15.2,71,31482,1154
1/1/2016 16:30,549,22,11.2,9.9,50,31482,1780
1/1/2016 17:00,633.5,22,11.2,9.9,50,33600,1785
1/1/2016 17:30,633.5,21,9.4,9.9,50,33600,1789
1/1/2016 18:00,606,21,11.2,9.9,89.1,29917,1680
1/1/2016 18:30,606,21,9.4,9.9,88,29917,1776
1/1/2016 19:00,549,20.8,11.1,15.2,89.1,28256,1247
1/1/2016 19:30,549,21,9.5,9.9,86.6,28256,143
1/1/2016 20:00,549,21,9.4,8,88.4,27761,141
1/1/2016 20:30,549,21,9.4,8,86.6,27761,140
1/1/2016 21:00,549,21,12.9,8,89.1,26268,137
1/1/2016 21:30,549,21,9.4,6,88,26268,134
1/1/2016 22:00,549,19.9,7.7,13.4,89.1,24461,1239
1/1/2016 22:30,549,20,7.6,6,88,24461,1229
1/1/2016 23:00,1,20,3.7,5,89.1,23469,1226
1/1/2016 23:30,1,20,3.8,5,88,23469,1175
2/1/2016 0:00,1,20,3.7,3,89.1,23872,130
2/1/2016 0:30,1,20,3.7,5,88,23872,129
2/1/2016 1:00,1,19.8,3.7,12.9,89.1,23568,127
2/1/2016 1:30,1,20,9.4,5,88,23568,126
2/1/2016 2:00,1,20,12.9,5,89.1,23165,126
2/1/2016 2:30,1,19.1,11.1,5,88,23165,126
2/1/2016 3:00,1,19.1,11.1,5,89.1,23430,125
2/1/2016 3:30,1,19,11,5,88,23430,125
2/1/2016 4:00,1,19.7,14.4,8.1,89.1,23579,125
2/1/2016 4:30,1,20,12.6,6,88,23579,125
2/1/2016 5:00,1,19,11.1,5,89.1,23774,125
2/1/2016 5:30,1,19.1,11.1,5,88,23774,124
2/1/2016 6:00,1,20,11.1,5,89.1,24270,959
2/1/2016 6:30,1,20,9.2,5,88,24270,960
2/1/2016 7:00,498,19.7,5.4,12.4,94.3,25719,1093
2/1/2016 7:30,498,20,7.4,2.1,88,25719,965
2/1/2016 8:00,682.3,20.1,3.5,3,89.1,26970,999
2/1/2016 8:30,682.3,20.1,9.2,3.1,88,26970,1055
2/1/2016 9:00,700,21,5.4,3.1,89.1,28928,1004
2/1/2016 9:30,700,21,10.8,5,88,28928,1183
2/1/2016 10:00,800,21.1,7.9,12.9,94.3,29243,1206
2/1/2016 10:30,800,22,10.9,5,88,29243,1142
2/1/2016 11:00,1,22,9.3,5,89.1,27080,1177
2/1/2016 11:30,1,21.1,10.9,4.1,88,27080,1120
2/1/2016 12:00,653.6,21.1,12.8,4.1,89.1,27363,129
2/1/2016 12:30,653.6,21.1,12.8,4.1,88,27363,130
2/1/2016 13:00,682.3,20.7,7.3,6.8,94.3,28408,965
2/1/2016 13:30,682.3,21.1,16.4,2.2,88,28408,1054
2/1/2016 14:00,667,21,9.4,2.1,89.1,29516,1100
2/1/2016 14:30,667,21,9.5,2.2,88,29516,1142
2/1/2016 15:00,653.6,21,11.2,2.1,89.1,29791,140
2/1/2016 15:30,653.6,21,9.5,2.2,88,29791,142
2/1/2016 16:00,700,20.2,9.4,6.3,94.3,31482,1154
2/1/2016 16:30,700,21,9.5,2.2,88,31482,1780
2/1/2016 17:00,870.5,21,9.3,2.1,89.1,33600,1785
2/1/2016 17:30,870.5,20.1,9.3,2.2,88,33600,1789
2/1/2016 18:00,1080,20.1,7.6,2.1,89.1,29917,1680
2/1/2016 18:30,1080,21,5.5,3.2,88,29917,1776
2/1/2016 19:00,870.5,20.2,5.5,6.7,94.3,28256,1247
2/1/2016 19:30,870.5,20.1,7.6,3.1,88,28256,143
2/1/2016 20:00,1170,21,7.5,2.1,89.1,27761,141
2/1/2016 20:30,1170,21,9.1,2.2,88,27761,140
2/1/2016 21:00,1170,21,9.2,3.1,89.1,26268,137
2/1/2016 21:30,1170,21,7.3,3.1,88,26268,134
2/1/2016 22:00,1170,20.1,5.3,6.7,94.3,24461,1239
2/1/2016 22:30,1170,21,7.4,2.1,88,24461,1229
2/1/2016 23:00,688.2,20,7.5,2.1,89.1,23469,1226
2/1/2016 23:30,688.2,20,7.4,3.1,88,23469,1175
3/1/2016 0:00,1,20,9.3,3,89.1,23872,130
3/1/2016 0:30,1,20,5.4,2.1,88,23872,129
3/1/2016 1:00,1,20.1,7.4,6.7,94.3,23568,127
3/1/2016 1:30,1,20,7.4,2.1,88,23568,126
3/1/2016 2:00,1,20,9.2,3,89.1,23165,126
3/1/2016 2:30,1,20,7.3,3.1,88,23165,126
3/1/2016 3:00,1,20,7.5,2.1,89.1,23430,125
3/1/2016 3:30,1,20,7.4,3.1,88,23430,125
3/1/2016 4:00,1,20.1,9.1,6.3,94.3,23579,125
3/1/2016 4:30,1,20,10.8,3.1,88,23579,125
3/1/2016 5:00,1,20,9.2,3,89.1,23774,125
3/1/2016 5:30,1,20,7.3,2.1,88,23774,124
3/1/2016 6:00,653.6,20,7.5,3,89.1,24270,959
3/1/2016 6:30,653.6,20,7.3,2.1,88,24270,960
3/1/2016 7:00,870.5,20.1,5.2,6.3,94.3,25719,1093
3/1/2016 7:30,870.5,21,5.2,3.1,88,25719,965
3/1/2016 8:00,1080,21,5.4,3.1,89.1,26970,999
3/1/2016 8:30,1080,21,5.5,3.2,88,26970,1055
3/1/2016 9:00,870.5,21,7.6,5.1,89.1,28928,1004
3/1/2016 9:30,870.5,22,7.5,6.1,88,28928,1183
3/1/2016 10:00,1080,22,7.4,8.1,94.3,29243,1206
3/1/2016 10:30,1080,22.1,5.3,6.1,88,29243,1142
3/1/2016 11:00,1080,22.1,9.2,4.1,89.1,27080,1177
3/1/2016 11:30,1080,22.1,5.3,4.2,88,27080,1120
3/1/2016 12:00,870.5,23,5.4,4.1,89.1,27363,129
3/1/2016 12:30,870.5,23,5.5,4.1,88,27363,130
3/1/2016 13:00,1080,23,4.5,12.9,94.3,28408,965
3/1/2016 13:30,1080,23,5.6,5.1,88,28408,1054
3/1/2016 14:00,1080,24,5.5,5,89.1,29516,1100
3/1/2016 14:30,1080,23.9,5.7,5.1,88,29516,1142
3/1/2016 15:00,1080,24,9.3,5,89.1,29791,140
3/1/2016 15:30,1080,23,9.2,5.1,88,29791,142
3/1/2016 16:00,1080,23.5,5.5,12.9,94.3,31482,1154
3/1/2016 16:30,1080,23,7.6,5.1,88,31482,1780
3/1/2016 17:00,1080,23,7.6,5,89.1,33600,1785
3/1/2016 17:30,1080,22,7.6,5,88,33600,1789
3/1/2016 18:00,1080,22,7.6,5,89.1,29917,1680
3/1/2016 18:30,1080,22,5.5,5,88,29917,1776
3/1/2016 19:00,870.5,21.9,5.5,12.9,89.1,28256,1247
3/1/2016 19:30,870.5,22,5.6,5,88,28256,143
3/1/2016 20:00,1171,22,5.5,5,89.1,27761,141
3/1/2016 20:30,1171,22,5.5,5,88,27761,140
3/1/2016 21:00,1171,22,3.7,5,89.1,26268,137
3/1/2016 21:30,1171,22,3.7,4,88,26268,134
3/1/2016 22:00,1171,21.6,3.7,12.4,94.3,24461,1239
3/1/2016 22:30,1171,22,5.3,4,88,24461,1229
3/1/2016 23:00,1170,22,3.6,4,89.1,23469,1226
3/1/2016 23:30,1170,22,3.5,3.1,88,23469,1175
4/1/2016 0:00,718.9,22,3.6,3,89.1,23872,130
4/1/2016 0:30,718.9,22,3.5,3.1,88,23872,129
4/1/2016 1:00,870.5,21.5,1.9,12,89.1,23568,127
4/1/2016 1:30,870.5,22,1.9,3.1,88,23568,126
4/1/2016 2:00,700,22,1.8,3,89.1,23165,126
4/1/2016 2:30,700,22,1.8,3,88,23165,126
4/1/2016 3:00,718.9,22,1.8,3,89.1,23430,125
4/1/2016 3:30,718.9,21,1.8,3,88,23430,125
4/1/2016 4:00,718.9,21.1,2.7,6.2,94.3,23579,125
4/1/2016 4:30,718.9,21,1.7,2.1,88,23579,125
4/1/2016 5:00,870.5,22,7.4,3,89.1,23774,125
4/1/2016 5:30,870.5,22,7.3,3,88,23774,124
4/1/2016 6:00,999,21,7.4,4,88.4,24270,959
4/1/2016 6:30,999,21,5.2,4,85.8,24270,960
4/1/2016 7:00,1171,20.9,5.3,11.9,88,25719,1093
4/1/2016 7:30,1171,22,5.3,3.1,85.8,25719,965
4/1/2016 8:00,1171,22.1,11,3.1,88.4,26970,999
4/1/2016 8:30,1171,22.1,10.8,4.1,86.6,26970,1055
4/1/2016 9:00,1171,23.1,7.5,4.1,88.4,28928,1004
4/1/2016 9:30,1171,23.2,5.2,4.1,86.6,28928,1183
4/1/2016 10:00,1171,24,4.4,13.4,93.7,29243,1206
4/1/2016 10:30,1171,25.1,7.4,6,86.6,29243,1142
4/1/2016 11:00,1171,26.1,9.2,7.1,88,27080,1177
4/1/2016 11:30,1171,25.1,9.3,9,49.1,27080,1120
4/1/2016 12:00,1171,27,7.6,10,49.6,27363,129
4/1/2016 12:30,1171,26,7.7,10,49.1,27363,130
4/1/2016 13:00,1171,26.3,6.4,15.3,70.6,28408,965
4/1/2016 13:30,1171,27,7.8,10,49.1,28408,1054
4/1/2016 14:00,1080,27,9.5,7.1,88,29516,1100
4/1/2016 14:30,1080,26,7.9,7.1,85.8,29516,1142
4/1/2016 15:00,999,26,9.5,7.1,88,29791,140
4/1/2016 15:30,999,25,9.6,6.1,85.8,29791,142
4/1/2016 16:00,1171,24.8,7.5,13.9,93.2,31482,1154
4/1/2016 16:30,1171,25,5.8,7.1,85.8,31482,1780
4/1/2016 17:00,1171,24,5.5,7.1,88,33600,1785
4/1/2016 17:30,1171,24,3.9,6.1,85.8,33600,1789
4/1/2016 18:00,1171,24,3.7,4.1,88,29917,1680
4/1/2016 18:30,1171,24,3.7,4.2,85.8,29917,1776
4/1/2016 19:00,870.5,23.6,3.6,12.5,88,28256,1247
4/1/2016 19:30,870.5,23,3.7,5.2,85.8,28256,143
4/1/2016 20:00,999,23,1.9,5.1,88,27761,141
4/1/2016 20:30,999,23,1.9,5.2,85.8,27761,140
4/1/2016 21:00,1171,23,5.4,5.1,88.4,26268,137
4/1/2016 21:30,1171,23,5.3,5.2,86.6,26268,134
4/1/2016 22:00,1171,22.1,5.3,13,88,24461,1239
4/1/2016 22:30,1171,22,5.4,5.2,85.8,24461,1229
4/1/2016 23:00,1171,22,5.3,5.1,88,23469,1226
4/1/2016 23:30,1171,22,5.3,5.2,85.8,23469,1175
5/1/2016 0:00,1000,22,1.8,5.1,28,23872,130
5/1/2016 0:30,1000,21.1,1.7,3.2,25.9,23872,129
5/1/2016 1:00,1000,21.1,1.7,2.1,59.6,23568,127
5/1/2016 1:30,1000,21.1,1.7,2.3,27.2,23568,126
5/1/2016 2:00,1000,23,3.6,10,88,23165,126
5/1/2016 2:30,1000,23,3.6,10,88,23165,126
5/1/2016 3:00,1000,21,1.8,2.1,28,23430,125
5/1/2016 3:30,1000,21,1.8,2.2,50,23430,125
5/1/2016 4:00,1000,21.3,3.6,2.1,70.6,23579,125
5/1/2016 4:30,1000,22,3.6,2.1,49.1,23579,125
5/1/2016 5:00,1000,21,7.4,3,49.6,23774,125
5/1/2016 5:30,1000,22,5.2,2.1,49.1,23774,124
5/1/2016 6:00,1171,21,7.5,2.1,49.6,24270,959
5/1/2016 6:30,1171,22,5.2,1.1,49.1,24270,960
5/1/2016 7:00,870.5,21.8,4.4,2.1,75.8,25719,1093
5/1/2016 7:30,870.5,21.95,4,2.55,62.7,25719,965
5/1/2016 8:00,1171,22.1,3.6,3,49.6,26970,999
5/1/2016 8:30,1171,23.1,2.1,5,49.1,26970,1055
5/1/2016 9:00,1171,24,3.6,5,88,28928,1004
5/1/2016 9:30,1171,25,3.7,6,85.8,28928,1183
5/1/2016 10:00,1171,25.1,3.6,14.3,88.4,29243,1206
5/1/2016 10:30,1171,26,3.6,8,86.6,29243,1142
5/1/2016 11:00,1171,26,5.5,10,88,27080,1177
5/1/2016 11:30,1171,27,5.5,9.9,49.1,27080,1120
5/1/2016 12:00,1171,27,5.4,10,50,27363,129
5/1/2016 12:30,1171,28,5.5,9.9,50,27363,130
5/1/2016 13:00,1171,27.1,9.2,15.2,70.6,28408,965
5/1/2016 13:30,1171,27,7.5,9.9,49.1,28408,1054
5/1/2016 14:00,1171,27,9.3,10,49.6,29516,1100
5/1/2016 14:30,1171,27,9.2,9.9,49.1,29516,1142
5/1/2016 15:00,1171,27,7.5,10,49.6,29791,140
5/1/2016 15:30,1171,27,7.6,9.9,49.1,29791,142
5/1/2016 16:00,1171,26.8,4.5,15.2,70.6,31482,1154
5/1/2016 16:30,1171,26.9,5.4,9.9,49.1,31482,1780
5/1/2016 17:00,1171,26,3.6,10,27.6,33600,1785
5/1/2016 17:30,1171,25,3.7,9.9,25,33600,1789
5/1/2016 18:00,1171,25,5.4,10,27.6,29917,1680
5/1/2016 18:30,1171,24,5.3,9.9,25,29917,1776
5/1/2016 19:00,1171,23.1,5.3,15.2,59.1,28256,1247
5/1/2016 19:30,1171,23,3.5,9.9,25,28256,143
5/1/2016 20:00,1171,22,3.6,6,27.6,27761,141
5/1/2016 20:30,1171,23,3.5,6.1,25,27761,140
5/1/2016 21:00,1171,22,3.6,7,49.6,26268,137
5/1/2016 21:30,1171,22,3.5,7,49.1,26268,134
5/1/2016 22:00,1171,21.5,3.6,5.4,70.6,24461,1239
5/1/2016 22:30,1171,22,3.5,3.1,49.1,24461,1229
